AnalysisNeighborhood,NeighborhoodKey
Bayview Hunters Point,1
Bernal Heights,2
Castro/Upper Market,5
Chinatown,6
Excelsior,7
Financial District/South Beach,8
Glen Park,10
Golden Gate Park,12
Haight Ashbury,3
Hayes Valley,9
Inner Richmond,11
Inner Sunset,14
Japantown,15
Lakeshore,16
Lincoln Park,17
Lone Mountain/USF,18
Marina,13
McLaren Park,19
Mission,20
Mission Bay,4
Nob Hill,21
Noe Valley,22
North Beach,23
Oceanview/Merced/Ingleside,24
Outer Mission,28
Outer Richmond,29
Pacific Heights,30
Portola,25
Potrero Hill,26
Presidio,27
Presidio Heights,31
Russian Hill,32
Seacliff,33
South of Market,34
Sunset/Parkside,35
Tenderloin,36
Treasure Island,37
Twin Peaks,38
Visitacion Valley,40
West of Twin Peaks,41
Western Addition,39
